City,Source Link,Paragraph Content
Luanda,https://wikitravel.org/en/Luanda,The majority of restaurants are on The Marginal or on Ilha de Luanda%2C but you can find other very good restaurants all along town. Be careful; when eating out%2C do not drink tap water%2C ask for mineral water instead.
Brisbane,https://wikitravel.org/en/Brisbane,Recent strong migration to Brisbane and the whole of south-east Queensland is taking place due to cheaper house prices%2C a pleasant climate%2C and good employment opportunities. The area is currently facing the challenge of providing enough fresh water for its residents. You're not likely to find the tap dry or see any visible signs of the shortage%2C but keep your showers relatively brief (local water restrictions call for 4 minute showers).
Graz,https://wikitravel.org/en/Graz,Graz has a lot of cafés all around the town%2C very concentrated in the city center and university district and you get tasty coffee almost everywhere. Prices are the same in most cafes%2C they just get slightly more expensive in Herrengasse or on Schlossberg. The most common coffee beverages are a "Verlängerter" (a small Americano with milk; 2%2C20-2%2C40€)%2C a "Cappuccino" (2%2C40-2%2C60€)%2C a Café Latte (coffee with lots of steamed milk; 2%2C60-2%2C90€). It is common that you get a glass of tap water to your coffee%2C if not don't hesitate to ask for it.
Tuzla,https://wikitravel.org/en/Tuzla,There is%2C also%2C City Fountain%2C built in 1888. located in very center of old town on Trg Slobode. You can tap fresh water here (for free). Better than buying plastic bottles!
Tuzla,https://wikitravel.org/en/Tuzla,Tap water is perfectly fine for drinking%2C and food quality tends to be good%2C as food safety regulations comply with those of the European union.
Belo Horizonte,https://wikitravel.org/en/Belo_Horizonte,Tap water provided by COPASA (sole provider for the city) is regarded as fully potable (filtered%2C sterilized%2C PH controlled and fluoridated)%2C but it is important to note that due to historical unreliability of water supply in Brazil%2C the vast majority of buildings have water tanks%2C so even if it is provided by COPASA%2C if you are unsure of the sanitary conditions of the building water tank%2C you should avoid drinking it before filtering%2C boiling or ozonizing it.
Belo Horizonte,https://wikitravel.org/en/Belo_Horizonte,Even though bottled water in Brazil is labeled as “mineral water”%2C you should be careful and use good sense when buying it. Cases of tap water and untreated water being bottled and labeled as “mineral” are not uncommon. Always check the color of the water%2C the general aspect of the bottle and the seal. Some Brazilians are used to untreated water but it is very likely that tourists will have serious issues with it%2C including diarrhea%2C vomits%2C fever%2C headaches and muscular pain. It is usually safer to drink COPASA tap water then bootleg bottled water.Free healthcare is widely available%2C but waiting times may be long (even on minor emergencies)%2C for non urgent cases go to the free “Posto de Saúde” near where you are staying (there are plenty all over the city). Private hospitals usually have faster service and better facilities and you can pay your treatment with either cash or with your insurance. Check with your insurance company the hospitals and clinics covered beforehand. If you have any allergies or known health problems%2C it is wise to learn some Portuguese words to describe it as it is very likely most of the hospital staff won’t speak English except for more qualified MDs%2C nurses and social workers. Although you might not see any initial difference%2C nurses are divided into “college nurses”%2C “technical nurses” and “auxiliary nurses”. You are more likely to find an English speaker amongst the college nurses (they are called Enfermeira or Enfermeiro and usually act as sector supervisors in a hospital).
Belém,https://wikitravel.org/en/Bel%C3%A9m,While in Belém you should not drink tap water%2C though you can use water from the tap to wash vegetables%2C brush your teeth%2C etc. As Belém is located approximately 100 mi south of the equator%2C the sun is particularly strong year-round%2C so fair-skinned travelers should apply sunscreen on a daily basis. Additionally%2C be sure to apply mosquito repellent when going out after sunset. Malaria is not a major concern in Belém%2C but if you are traveling to remote areas of Pará during the rainy season you should%2C after consulting with your doctor%2C consider taking malaria pills. The CDC recommends getting a Yellow Fever vaccine for travel in Pará and many other parts of Brazil. You can learn more about recommended vaccinations for Brazil on the CDC website [5].
Fortaleza,https://wikitravel.org/en/Fortaleza,As a rule of thumb%2C try to avoid drinking tap water. If you travel west from Fortaleza%2C into the states of Maranhão%2C Pará or further%2C Brazilian authorities recommend that you get a yellow fever vaccination. An International Certificate of Vaccination [58] can be issued if you have the shot taken at the airport or in the city center. If you already have your booklet%2C and only need a new shot and the corresponding entry%2C this is best done at the medical center at Avenida Antonio Justa%2C one block from Pão de Açucar%2C weekdays 7 AM to 4:30 PM%2C free of charge.
Montes Claros,https://wikitravel.org/en/Montes_Claros,The city has a complete sewering system and tap water is clean but should not be consumed since it is hard water (high concentration of calcarium) It can be drink if filtered by any most of filtering methods. Buying bottled water is very cheap though and most people do it.
Salvador,https://wikitravel.org/en/Salvador,Visiting a Salvador beach is a highlight for many tourists. One of the main central Salvador beaches is Porto de Barra. It was originally the site of the first settlement of european newcomers to Bahia. It can get very crowded on weekends. The northeast region of Salvador concentrates most beaches with good water quality. Flamengo and Stella Maris are the most popular beaches among tourists and upper class locals. They have excellent tourist infrastructure and rough waters excellent for surfing. Jaguaribe%2C Piatã and Itapoã%2C with calmer waters%2C are mostly frequented by locals and can become quite crowded at weekends. They are a good option with you want to mix with the local population%2C but don't bring anything besides your clothes%2C sunglasses%2C sunscreen%2C and some cash%2C as muggings are quite common.
Chongqing,https://wikitravel.org/en/Chongqing,Further down the road%2C the focus changes towards kitchen and bath%2C with stoves%2C freezers and refrigerators%2C kitchen fans%2C table and floor cooling fans%2C electric water heaters%2C taps and showers%2C lamps (also inwall LEDs)%2C power switches%2C electrical and ethernet sockets%2C AC units and bug zappers%2C and even further down%2C power tools.
Dalian,https://wikitravel.org/en/Dalian,Health-wise Dalian's relatively low levels of pollution (when compared to other domestic cities) mean health problems from the bad air are less of an issue than in other Chinese cities. The water%2C while technically drinkable%2C is made drinkable via the addition of hefty amounts of chemicals and pipes are seldom kept in the best condition so boiling is pretty much mandatory%2C and bottled water is usually a safer bet  -- locals either boil tap water or buy filtered water. Tap water should be fine for brushing teeth and washing with%2C however. The complete lack of any health inspection mechanism means food poisoning is a constant danger%2C but most restaurants should be OK. Even still%2C however%2C nice restaurants are known to sell outdated seafood from time to time. Avoid any restaurants that seem strangely quiet (customers tend not to return to places that leave them on the toilet for a week). It's always a good idea to pack a few diarrhoea tablets before leaving%2C just in case. Hospitals are liberally scattered throughout the city with the Friendship Hospital on Wuwu Lu (+86 411 8271-8822) and the first affiliated hospital of Dalian Medical University (Also known as "Fuyi" in Chinese) are the most likely to have English speaking staff. China's hyper-capitalist health-care system means that payment in cash is required before any treatment is dished out%2C so make sure to bring a few hundred yuan with you should you need medical attention.
