Country,Source Link,Paragraph Content
Algeria,https://wikitravel.org/en/Algeria,Tap water is considered drinkable[3] [4]%2C and Algeria enjoys a large variety of excellent mineral bottled water as well.
American Samoa,https://wikitravel.org/en/American_Samoa,In many areas of Tutuila%2C the tap water is not safe for drinking or washing dishes due to E. coli contamination.  Check with the American Samoa Environmental Protection Agency for details or drink bottled water. A gallon of water can be refilled at machines at many stores for 50 cents%2C so do not ruin your holiday by taking the chance with the tap water.
Argentina,https://wikitravel.org/en/Argentina,Visiting Argentina doesn't raise any major health worries.  Certain vaccinations may be necessary for visitors%2C depending on where in Argentina you plan to visit.  Yellow Fever vaccinations are recommended for those visiting the Northern forests. Different climate conditions might take your body by surprise%2C so be aware of the weather before you arrive.  A bout of travellers' diarrhea is the most you're likely to have to worry about as your body adjusts to local micro-organisms in the food. It's also best to ease yourself gently into the local diet – sudden quantities of red meat%2C red wine%2C strong coffee and sweet pastries can be very unsettling for a stomach used to gentler repasts – and though tap water in Argentina is safe to drink%2C if sometimes heavily chlorinated%2C you may prefer to err on the side of caution in rural areas in the north of the country.
Armenia,https://wikitravel.org/en/Armenia,The tap water is generally safe as it comes directly from mountains%2C but you may also purchase bottled water. You can get both mineral water and spring water on almost every street corner in both rural areas and the capital.
Australia,https://wikitravel.org/en/Australia,All cities and towns in Australia have free public toilets. Many parks%2C and most beaches have free electric BBQ's as well. Popular beaches have fresh water showers to wash the salt water off after you swim%2C so for those on a tight budget (or for those that just love waking up at the beach) simply wash in the ocean (please do not pollute the ocean or waterways by using detergents or soaps) and rinse off at the showers. Almost all taps in Australia are drinking water%2C the ones that aren't will be marked. Service stations (petrol/gas) almost always have taps%2C so these are a good place to refill the water containers each time you refuel.
Australia,https://wikitravel.org/en/Australia,If you are caught in a bushfire%2C most fires will pass over quickly. You need to find shelter that will protect you from the smoke and radiant heat. A house is best%2C then a car%2C then a clearing%2C a cave%2C or on the beach is the best location. Wet everything what you can. Stay low and cover your mouth. Cover yourself with non-flammable (woolen) clothing or blankets%2C and reduce the skin directly exposed to the heat. If you have access to a tap gather water early%2C don't rely on water pressure as the fire front approaches. If your holiday goes no further than cities%2C major towns%2C and beaches%2C this won't really concern you.
Australia,https://wikitravel.org/en/Australia,The tap water in Australia is almost always safe to drink%2C and it will be marked on the tap if this is not the case. The taste and hardness of the tap water will vary considerably across the country. Bottled water is also widely available. Carrying water on hot days is a good idea in urban areas%2C and it is a necessity if hiking or driving out of town. At sites where tap water is untreated%2C water sterilization tablets may be used as an alternative to boiling.
Austria,https://wikitravel.org/en/Austria,Tap water is of exceptional quality and safe to drink in Austria (except in some parts of Lower Austria%2C where it is recommended to ask about the water quality first!). The quality of water in Vienna is supposedly comparable to that of Evian.
Bangladesh,https://wikitravel.org/en/Bangladesh,Bangladesh is a fish lover's paradise. Traditionally most of the country lives off of the once-bountiful freshwater river fish%2C especially the officially designated "national fish" Hilsa (kind of Shad fish). The Hilsa has a nice flavour%2C but some may find the many fine bones difficult to manage; if you can master eating this fish%2C consider yourself on par with the locals in fish-eating and deboning expertise.  Various recipes exist for cooking Hilsa%2C suitable for all seasons and all regions of the country. Mutton is also popular%2C as in most Muslim countries%2C as is decidedly lean or hard chicken. Rice is almost always the staple side dish.
Barbados,https://wikitravel.org/en/Barbados,Barbados has some of the purest water in the world that can be drunk straight from the tap. Cruise ship employees are often seen stocking up on their water supplies while docked at the island.
